,Date,Open,High,Low,Close,Volume
0,2018-11-19,47.5,47.674999,46.247501,46.465,167701200
1,2018-11-20,44.592499,45.3675,43.877499,44.244999,271300800
2,2018-11-21,44.932499,45.067501,44.137501,44.195,124496800
3,2018-11-23,43.735001000000004,44.150002,43.025002,43.072497999999996,94496000
4,2018-11-26,43.560001,43.737499,42.564999,43.654999,179994000
5,2018-11-27,42.877499,43.692501,42.720001,43.560001,165549600
6,2018-11-28,44.182499,45.322497999999996,43.732498,45.235001000000004,184250000
7,2018-11-29,45.665001000000004,45.700001,44.424999,44.887501,167080000
8,2018-11-30,45.072497999999996,45.0825,44.2575,44.645,158126000
9,2018-12-03,46.115002000000004,46.235001000000004,45.302502000000004,46.205002,163210000
10,2018-12-04,45.237499,45.5975,44.067501,44.172501000000004,165377200
11,2018-12-06,42.939999,43.695,42.605,43.68,172393600
12,2018-12-07,43.372501,43.622501,42.075001,42.122501,169126400
13,2018-12-10,41.25,42.522498999999996,40.8325,42.400002,248104000
14,2018-12-11,42.915001000000004,42.947497999999996,41.75,42.157501,189126800
15,2018-12-12,42.599998,42.98,42.255001,42.275002,142510800
16,2018-12-13,42.622501,43.142502,42.387501,42.737499,127594400
17,2018-12-14,42.25,42.27,41.32,41.369999,162814800
18,2018-12-17,41.362499,42.087502,40.682499,40.985001000000004,177151600
19,2018-12-18,41.345001,41.8825,41.0975,41.517502,135366000
20,2018-12-19,41.5,41.862499,39.772498999999996,40.2225,196189200
21,2018-12-20,40.099998,40.5275,38.825001,39.2075,259092000
22,2018-12-21,39.215,39.540001000000004,37.407501,37.682499,382978400
23,2018-12-24,37.037498,37.887501,36.647498999999996,36.7075,148676800
24,2018-12-26,37.075001,39.307499,36.68,39.2925,234330000
25,2018-12-27,38.959998999999996,39.192501,37.517502,39.037498,212468400
26,2018-12-28,39.375,39.630001,38.637501,39.057499,169165600
27,2018-12-31,39.6325,39.84,39.119999,39.435001,140014000
28,2019-01-02,38.7225,39.712502,38.557499,39.48,148158800
29,2019-01-03,35.994999,36.43,35.5,35.547501000000004,365248800
30,2019-01-04,36.1325,37.137501,35.950001,37.064999,234428400
