run;base de treinamento;passos de treinamento;numero da iteracao;treinamento - condiÃ§Ã£o de parada;quantidade de episÃ³dios terminais treino;recompensas treino;valor inicial treino;valor final treino;lucro/prejuÃ­zo treino;base de teste;quantidade de dias;numero da iteracao teste;quantidade de episÃ³dios teste;recompensas teste;valor inicial teste;valor final teste;lucro/prejuÃ­zo teste;quantidade de passos teste;;;
12;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;12;0.8;0;1519395266;10000;8030.5662;-1969.4338;consolidado_teste (02.05 a 13.05).csv;7;12;0;28390928.57;10000;9839.01;-160.99;2836;;;
13;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;13;0.8;0;1850339064;10000;11457.4179;1457.4179;consolidado_teste (02.05 a 13.05).csv;7;13;0;28357904.93;10000;9999.235;-0.765;2836;;;
14;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;14;0.8;0;1964945890;10000;12116.6893;2116.6893;consolidado_teste (02.05 a 13.05).csv;7;14;0;28390587.05;10000;9838.645;-161.355;2836;;;
15;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;15;0.8;0;1569391873;10000;7798.5297;-2201.4703;consolidado_teste (02.05 a 13.05).csv;7;15;0;28360000;10000;10000;0;2836;;;
16;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;16;0.8;0;1560679957;10000;8171.9862;-1828.0138;consolidado_teste (02.05 a 13.05).csv;7;16;0;28360000;10000;10000;0;2836;;;
17;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;17;0.8;0;1806613589;10000;10631.6131;631.6131;consolidado_teste (02.05 a 13.05).csv;7;17;0;28390594.85;10000;9838.665;-161.335;2836;;;
18;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;18;0.8;0;1563493074;10000;10088.6197;88.6197;consolidado_teste (02.05 a 13.05).csv;7;18;0;28383378.83;10000;9836.045;-163.955;2836;;;
19;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;19;0.8;0;1581405611;10000;8920.4857;-1079.5143;consolidado_teste (02.05 a 13.05).csv;7;19;0;28367434.32;10000;9995.1;-4.9;2836;;;
20;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;20;0.8;0;1908849284;10000;11843.9055;1843.9055;consolidado_teste (02.05 a 13.05).csv;7;20;0;28399074.1;10000;9843.86;-156.14;2836;;;
21;['consolidado_treinamento (01.12 a 06.12).csv', 'consolidado_treinamento (10.01 a 14.01).csv', 'consolidado_treinamento (18.01 a 26.01).csv', 'consolidado_treinamento (21.02 a 11.03).csv', 'consolidado_treinamento (23.03 a 28.03).csv', 'consolidado_treinamento (07.04 a 15.04).csv', 'consolidado_treinamento (18.04 a 29.04).csv'];0;21;0.8;0;1700035696;10000;9342.2298;-657.7702;consolidado_teste (02.05 a 13.05).csv;7;21;0;28622852.28;10000;9984.39;-15.61;2836;;;
